Year;Country;Emission
1862;Vietnam;9.63
1863;Vietnam;10.03
1864;Vietnam;10.43
1865;Vietnam;10.74
1866;Vietnam;11.15
1867;Vietnam;11.45
1868;Vietnam;11.86
1869;Vietnam;12.16
1870;Vietnam;12.47
1871;Vietnam;12.78
1872;Vietnam;13.19
1873;Vietnam;13.5
1874;Vietnam;13.81
1875;Vietnam;14.03
1876;Vietnam;14.34
1877;Vietnam;14.65
1878;Vietnam;14.86
1879;Vietnam;15.18
1880;Vietnam;15.39
1881;Vietnam;15.6
1882;Vietnam;15.81
1883;Vietnam;16.02
1884;Vietnam;16.23
1885;Vietnam;16.44
1886;Vietnam;16.65
1887;Vietnam;16.76
1888;Vietnam;16.98
1889;Vietnam;17.09
1890;Vietnam;17.41
1891;Vietnam;17.42
1892;Vietnam;17.39
1893;Vietnam;17.9
1894;Vietnam;17.58
1895;Vietnam;17.58
1896;Vietnam;17.75
1897;Vietnam;18
1898;Vietnam;18.23
1899;Vietnam;18.3
1900;Vietnam;18.21
1901;Vietnam;18.31
1902;Vietnam;18.23
1903;Vietnam;18.48
1904;Vietnam;18.81
1905;Vietnam;18.91
1906;Vietnam;19.06
1907;Vietnam;19.19
1908;Vietnam;19.36
1909;Vietnam;19.56
1910;Vietnam;19.94
1911;Vietnam;19.9
1912;Vietnam;19.99
1913;Vietnam;20.29
1914;Vietnam;20.76
1915;Vietnam;20.92
1916;Vietnam;21.23
1917;Vietnam;21.26
1918;Vietnam;21.42
1919;Vietnam;21.7
1920;Vietnam;22
1921;Vietnam;22.93
1922;Vietnam;23.7
1923;Vietnam;24.66
1924;Vietnam;26
1925;Vietnam;27.32
1926;Vietnam;28.15
1927;Vietnam;29.71
1928;Vietnam;31.54
1929;Vietnam;32.17
1930;Vietnam;32.33
1931;Vietnam;31.78
1932;Vietnam;31.67
1933;Vietnam;31.15
1934;Vietnam;30.76
1935;Vietnam;30.92
1936;Vietnam;31.55
1937;Vietnam;31.64
1938;Vietnam;31.57
1939;Vietnam;32.18
1940;Vietnam;31.9
1941;Vietnam;31.63
1942;Vietnam;29.15
1943;Vietnam;28.81
1944;Vietnam;27.84
1945;Vietnam;27.39
1946;Vietnam;27.74
1947;Vietnam;28.08
1948;Vietnam;28.72
1949;Vietnam;29.06
1950;Vietnam;29.74
1951;Vietnam;30.25
1952;Vietnam;31.92
1953;Vietnam;33.43
1954;Vietnam;36.16
1955;Vietnam;39.15
1956;Vietnam;40.71
1957;Vietnam;42.63
1958;Vietnam;46.33
1959;Vietnam;49.17
1960;Vietnam;50.67
1961;Vietnam;50.52
1962;Vietnam;52.9
1963;Vietnam;50.77
1964;Vietnam;56.59
1965;Vietnam;56.83
1966;Vietnam;61.3
1967;Vietnam;65.57
1968;Vietnam;66.66
1969;Vietnam;70.58
1970;Vietnam;71.26
1971;Vietnam;67.17
1972;Vietnam;67.41
1973;Vietnam;70.86
1974;Vietnam;65.66
1975;Vietnam;65.87
1976;Vietnam;61.54
1977;Vietnam;65.28
1978;Vietnam;66.72
1979;Vietnam;67.12
1980;Vietnam;68.44
1981;Vietnam;70.64
1982;Vietnam;72.68
1983;Vietnam;75
1984;Vietnam;73.4
1985;Vietnam;77.59
1986;Vietnam;78.22
1987;Vietnam;80.77
1988;Vietnam;82.5
1989;Vietnam;78.6
1990;Vietnam;83.14
1991;Vietnam;86.19
1992;Vietnam;87.74
1993;Vietnam;90.97
1994;Vietnam;96.55
1995;Vietnam;103.2
1996;Vietnam;113.88
1997;Vietnam;126.85
1998;Vietnam;135.8
1999;Vietnam;142.34
2000;Vietnam;151.37
2001;Vietnam;159.19
2002;Vietnam;173.74
2003;Vietnam;186.87
2004;Vietnam;206.77
2005;Vietnam;218.29
2006;Vietnam;225.39
2007;Vietnam;231.59
2008;Vietnam;244.68
2009;Vietnam;266.77
2010;Vietnam;281.48
2011;Vietnam;288.68
2012;Vietnam;281.36
2013;Vietnam;292.5
2014;Vietnam;312.1
2015;Vietnam;344.73
2016;Vietnam;363.94
2017;Vietnam;368
2018;Vietnam;409.35
